ID,Brand,Phone,Picture URL small,Body Dimensions,Body Weight,Display Resolution
96,Ericsson,Ericsson GH 218,https://fdn2.gsmarena.com/vv/bigpic/ergh218b.gif,130 x 49 x 36 mm (5.12 x 1.93 x 1.42 in);,;,1 line;
97,Ericsson,Ericsson GO 118,https://fdn2.gsmarena.com/vv/bigpic/ergo118b.gif,145 x 59 x 18 mm (5.71 x 2.32 x 0.71 in);,215 g (7.58 oz);,4 x 12 chars;
98,Ericsson,Ericsson GS 18,https://fdn2.gsmarena.com/vv/bigpic/ergs18b.gif,147 x 60 x 24 mm (5.79 x 2.36 x 0.94 in);,215 g (7.58 oz);,4 x 12 chars;
99,Ericsson,Ericsson GA 318,https://fdn2.gsmarena.com/vv/bigpic/erga318b.gif,130 x 49 x 32 mm (5.12 x 1.93 x 1.26 in);,248 g (8.75 oz);,1 x 12 chars;
100,Ericsson,Ericsson GH 337,https://fdn2.gsmarena.com/vv/bigpic/ergh337b.gif,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);,193 g (6.81 oz);,3 x 12 chars;
101,Ericsson,Ericsson GF 337,https://fdn2.gsmarena.com/vv/bigpic/ergf337b.gif,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);,193 g (6.81 oz);,3 x 12 chars;
102,Ericsson,Ericsson GS 337,https://fdn2.gsmarena.com/vv/bigpic/ergs337b.gif,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);,193 g (6.81 oz);,3 x 12 chars;
103,Ericsson,Ericsson GH 388,https://fdn2.gsmarena.com/vv/bigpic/ergh388b.gif,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);,170 g (6.00 oz);,3 x 12 chars;
104,Ericsson,Ericsson GF 388,https://fdn2.gsmarena.com/vv/bigpic/ergf388b.gif,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);,170 g (6.00 oz);,3 x 12 chars;
105,Ericsson,Ericsson GA 628,https://fdn2.gsmarena.com/vv/bigpic/erga628b.gif,130 x 49 x 28 mm (5.12 x 1.93 x 1.10 in);,160 g (5.64 oz);,1 x 12 chars;
106,Ericsson,Ericsson GH 688,https://fdn2.gsmarena.com/vv/bigpic/ergh688b.gif,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);,160 g (5.64 oz);,3 x 12 chars;
107,Ericsson,Ericsson GF 768,https://fdn2.gsmarena.com/vv/bigpic/ergf768b.gif,105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in);,135 g (4.76 oz);,1 x 10 chars;
108,Ericsson,Ericsson PF 768,https://fdn2.gsmarena.com/vv/bigpic/erpf768b.gif,105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in);,135 g (4.76 oz);,1 x 10 chars;
109,Ericsson,Ericsson GF 788,https://fdn2.gsmarena.com/vv/bigpic/ergf788b.gif,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);,135 g (4.76 oz);,1 x 10 chars;
110,Ericsson,Ericsson GF 788e,https://fdn2.gsmarena.com/vv/bigpic/erg788eb.gif,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);,135 g (4.76 oz);,1 x 10 chars;
111,Ericsson,Ericsson S 868,https://fdn2.gsmarena.com/vv/bigpic/ers868b.gif,130 x 49 x 21 mm (5.12 x 1.93 x 0.83 in);,172 g (6.07 oz);,3 x 12 chars;
112,Ericsson,Ericsson SH 888,https://fdn2.gsmarena.com/vv/bigpic/ersh888b.gif,130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in);,195 g (6.88 oz);,3 x 12 chars;
113,Ericsson,Ericsson I 888,https://fdn2.gsmarena.com/vv/bigpic/eri888b.gif,130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in);,195 g (6.88 oz);,3 x 12 chars;
114,Ericsson,Ericsson A1018s,https://fdn2.gsmarena.com/vv/bigpic/er1018sb.gif,130 x 49 x 27 mm (5.12 x 1.93 x 1.06 in);,163 g (5.75 oz);,3 x 12 chars;
115,Ericsson,Ericsson T10s,https://fdn2.gsmarena.com/vv/bigpic/ert10sb.gif,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);,135 g (4.76 oz);,"101 x 33 pixels, 3 x 12 chars;"
116,Ericsson,Ericsson T18s,https://fdn2.gsmarena.com/vv/bigpic/ert18sb.gif,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);,146 g (5.15 oz);,"101 x 33 pixels, 3 x 12 chars;"
117,Ericsson,Ericsson T28s,https://fdn2.gsmarena.com/vv/bigpic/ert28sb.gif,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in);,83 g (2.93 oz);,"101 x 33 pixels, 3 x 12 chars;"
118,Ericsson,Ericsson T28 World,https://fdn2.gsmarena.com/vv/bigpic/ert28wb.gif,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in);,83 g (2.93 oz);,"101 x 33 pixels, 3 x 12 chars;"
119,Ericsson,Ericsson R250s PRO,https://fdn2.gsmarena.com/vv/bigpic/err250sb.gif,148 x 59 x 32 mm (5.83 x 2.32 x 1.26 in);,330 g (11.64 oz);,4 lines;
190,Ericsson,Ericsson T36,https://fdn2.gsmarena.com/vv/bigpic/ert36b.gif,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);,88 g (3.10 oz);,4 lines;
193,Ericsson,Ericsson A2618,https://fdn2.gsmarena.com/vv/bigpic/era2618b.gif,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in);,140 g (4.94 oz);,4 lines;
